"group_index","release_group_id","year","month","release_location_name","relloc_area","mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
188,658,2009,4,"COLEMAN NFH","Battle",0.22641270882506,0.0699391639319384,0.107997749450617,0.220250932223295,0.382273329161225,500.949402311512,1.00640991380518
189,669,2009,4,"COLEMAN NFH","Battle",0.182251937027846,0.0640882700522449,0.082308267472641,0.175549363442344,0.332046219898373,738.107406855089,1.00297372801807
190,671,2009,4,"COLEMAN NFH","Battle",0.356395036646658,0.0927691221211232,0.200748840865506,0.350528662592544,0.565481346848425,397.09163974361,1.00249803599948
191,672,2009,4,"COLEMAN NFH","Battle",0.207235094081284,0.069949819965909,0.0909310446284556,0.19704153772121,0.366004697420744,694.219925119727,1.00660783659653
192,677,2009,4,"COLEMAN NFH","Battle",0.329369382534623,0.0912033305713807,0.169682581301342,0.320988515917791,0.526183067945645,481.724476537733,1.00338316077645
193,683,2009,4,"COLEMAN NFH","Battle",0.183782686834018,0.0678959960127815,0.0809458972643367,0.175888694835013,0.342426024145868,1074.37843876473,1.00342799585587
194,694,2009,4,"COLEMAN NFH","Battle",0.222545539440473,0.0686209344555732,0.107397038237509,0.217300403247733,0.373513519072632,673.69747306135,1.00355966092337
195,702,2009,4,"COLEMAN NFH","Battle",0.0262612796937019,0.0210946723264053,0.00214471210430249,0.0209765804234909,0.0818461471675747,2183.16964332429,1.00029753534873
196,703,2009,4,"COLEMAN NFH","Battle",0.281468064520601,0.0811359086856904,0.147925995061971,0.271712632771852,0.466508905462239,523.335492474687,1.00287400758705
197,704,2009,4,"COLEMAN NFH","Battle",0.0988742921086995,0.0423326224352445,0.0324560281062088,0.0938909445283922,0.198531645794389,929.355786645022,1.00577883736768
198,722,2009,4,"COLEMAN NFH","Battle",0.283203742126268,0.0874811599379896,0.150858460233328,0.271531049571062,0.481360463472198,578.440966219878,1.00451515964257
199,723,2009,4,"COLEMAN NFH","Battle",0.209435639157525,0.0667937466976807,0.103360916166197,0.203381703214541,0.363962037520246,552.13300666007,1.00566935814955
200,728,2009,4,"COLEMAN NFH","Battle",0.1562142390925,0.0609372812897127,0.0617849796665268,0.148317999664474,0.301861684956236,777.847910792478,1.00228641263828
201,773,2009,4,"COLEMAN NFH","Battle",0.0914498755976113,0.0449136025282044,0.0275989426533815,0.0831511931871561,0.203442802292402,1081.1902046341,1.00202912333285
202,782,2009,4,"COLEMAN NFH","Battle",0.184688463514615,0.0616027288296404,0.0878702550025857,0.177307554023681,0.326254164255264,537.185228474203,1.00571410204559
203,785,2009,4,"COLEMAN NFH","Battle",0.104733301713281,0.0473987578915164,0.0348721014960748,0.0975264670382248,0.213041294774428,936.737939356413,1.00543252746188
204,808,2009,4,"COLEMAN NFH","Battle",0.210421662928514,0.0703417146830546,0.0975087510543114,0.20258234814617,0.373304626233878,503.815885364453,1.0050319872748
205,829,2009,4,"COLEMAN NFH","Battle",0.115611859273966,0.0348815977489951,0.0586641088609533,0.1118358446489,0.191020119963934,860.10382277638,1.00237482530473
206,839,2009,4,"COLEMAN NFH","Battle",0.105290780398539,0.0468085616888312,0.0365569604414444,0.0993510602094795,0.211400244425486,1036.56556446115,1.0010526533802
207,874,2009,4,"COLEMAN NFH","Battle",0.0935163735516206,0.0477433500856518,0.0261209919454661,0.084574505782487,0.213950262825665,1654.19723518758,1.00050510816323
208,416,2010,4,"COLEMAN NFH","Battle",0.0130780054074242,0.0217710873067763,1.03002473190617e-05,0.00440766554265473,0.0741734760238519,1627.87425461752,1.00030383220042
209,515,2010,4,"COLEMAN NFH","Battle",0.102899265577232,0.0510040397677213,0.0288136730176916,0.0940393499227554,0.229459987085853,885.604092489662,1.00601095816551
210,517,2010,4,"COLEMAN NFH","Battle",0.26499827957468,0.0917191599679288,0.114291461841327,0.25245325459685,0.466811521752168,498.274280379112,1.00701664877674
211,531,2010,4,"COLEMAN NFH","Battle",0.237154112974327,0.0840703697116991,0.102763472866514,0.226642388040644,0.425559318932352,702.491167128229,1.00173812268431
212,550,2010,4,"COLEMAN NFH","Battle",0.28503965940884,0.0887744711392255,0.136694010472889,0.275857222937268,0.47738908907917,422.180772498056,1.01070863185087
213,553,2010,4,"COLEMAN NFH","Battle",0.229370298441475,0.0715887158376346,0.112715833809431,0.223611128098251,0.395692888183466,790.295208359936,1.00161528865977
214,581,2010,4,"COLEMAN NFH","Battle",0.198008294225233,0.0668029100291422,0.0891053990129841,0.192572358645286,0.344136458855717,704.518567566421,1.00809136921656
